Samples	SBS1	SBS2	SBS5	SBS13	SBS32	SBS35	SBS37	SBS40	SBS46	SBS54
LKCGP-P001104-263056-01-04-20-D1	15	0	222	0	0	0	0	0	0	0
LKCGP-P001105-271530-01-01-01-R1	13	0	215	0	0	0	0	0	0	0
LKCGP-P001106-249829-01-03-01-R1	68	0	455	0	0	0	0	0	289	205
LKCGP-P001201-248752-01-06-01-R1	6	0	174	0	0	0	0	0	0	0
LKCGP-P001203-271124-01-02-05-R1	24	0	230	0	0	0	0	0	0	0
LKCGP-P001204-263990-01-04-01-D1	1	0	146	0	0	0	0	0	0	0
LKCGP-P001205-274088-01-01-01-D1	5	0	412	0	0	0	0	0	0	0
LKCGP-P001206-250878-01-02-05-D1	17	0	333	0	0	0	0	0	0	0
LKCGP-P001207-262187-01-05-01-D1	4	9	145	16	0	0	0	0	0	0
LKCGP-P001301-248794-01-01-01-P2	5	31	142	50	0	0	0	248	0	0
LKCGP-P001302-256285-01-01-01-R1	7	0	107	0	0	0	0	0	0	0
LKCGP-P001303-271833-01-04-01-D1	1	0	171	0	0	0	0	0	0	0
LKCGP-P001304-264103-01-01-01-D1	10	0	338	0	0	0	0	0	0	0
LKCGP-P001305-275257-01-04-01-R1	12	0	122	0	0	0	0	0	0	29
LKCGP-P001306-255554-01-04-01-D1	5	0	393	0	0	0	0	0	0	0
LKCGP-P001307-263444-01-01-01-D1	6	0	95	0	0	0	0	0	0	0
LKCGP-P001401-249004-01-01-01-D1	6	0	162	18	0	0	0	0	0	0
LKCGP-P001402-258718-01-04-01-P1	14	0	336	0	0	0	0	0	0	0
LKCGP-P001403-272819-01-06-01-D1	4	0	266	0	0	0	0	0	0	0
LKCGP-P001404-264380-01-01-20-D1	5	0	181	0	0	0	0	0	0	0
LKCGP-P001405-277029-01-01-01-P1	10	0	134	0	0	0	0	0	0	0
LKCGP-P001406-256347-01-04-01-R3	8	28	385	62	0	0	0	0	0	0
LKCGP-P001407-264193-01-02-01-D1	5	0	121	0	0	0	0	0	0	0
LKCGP-P001408-312527-01-04-01-R1	1	55	277	64	0	90	0	0	0	0
LKCGP-P001501-248024-01-01-01-D1	28	0	414	0	0	0	0	0	0	0
LKCGP-P001502-260042-01-01-01-R1	10	15	170	20	0	0	0	0	0	0
LKCGP-P001503-272818-01-04-01-D1	0	0	147	0	0	0	0	0	0	0
LKCGP-P001504-265128-01-04-01-R1	12	0	199	0	0	0	0	0	0	0
LKCGP-P001505-277736-01-01-01-D1	4	0	177	0	0	0	0	0	0	62
LKCGP-P001506-257579-01-02-05-P1	8	0	205	0	0	0	0	0	0	0
LKCGP-P001602-259355-01-01-01-R1	0	0	156	0	0	0	0	0	0	0
